old,new,note,tag
しんみり_舌出し_バスト正面.png,,,呆れ、諦め、ジト目、疲れ
冷笑_舌出し_バスト正面.png,,,冷笑、企み、悪い顔
冷笑_舌半出_バスト斜め.png,,,冷笑、企み、もっと悪い顔
冷笑_舌半出_顔アップ.png,,,冷笑、企み、悪い顔、横見てる、舌が左右に割れている
却下_舌超長_バスト斜め.png,,,白目、絶望、恐怖、超疲れ、舌超長い、よだれ
却下_舌超長_バスト正面.png,,,半目、絶望、恐怖、超疲れ、舌長い
却下_舌超長_顔アップ.png,,,白目、絶望、恐怖、超疲れ、舌超長い
反論_舌出し_バスト斜め.png,,,怒り
反論_舌出し_バスト正面.png,,,怒り、舌が大きく開く
反論_舌半出_バスト正面.png,,,怒り、舌長い、舌前に突き出す（舌が閉じて一本になってる）
呆れ_舌出し_バスト正面.png,,,呆れ、諦め、ジト目、疲れ、舌長い
呆れ_舌半出_バスト正面.png,,,呆れ、諦め、ジト目、疲れ、少し怒り
困り_舌出し_バスト斜め.png,,,白目、絶望、恐怖、超疲れ、舌長い
困り_舌出し_バスト正面.png,,,ジト目（横見てる）
建前_舌出し_バスト正面.png,,,驚き、瞳孔開いてる、絶望、舌半出し
得意_舌出し_バスト正面.png,,,ウインク、得意げ、舌半出し
得意_舌半出_バスト正面.png,,,照れ、恥ずかしい、伏し目、
怒り_舌出し_バスト斜め.png,,,怒り、舌長い、舌前に突き出す
怒り_舌出し_バスト正面.png,,,怒り、目がイッてる
怒り_舌出し_顔アップ.png,,,怒り
怒り_舌半出_バスト正面.png,,,怒り、舌が太い
本音_舌出し_バスト斜め.png,,,呆れ、諦め、ジト目、疲れ、舌半出し
本音_舌出し_バスト正面.png,,,困り、舌が開いてる、
渋い_舌出し_バスト正面.png,,,
渋い_舌半出_バスト斜め.png,,,疲れ、バテてる
穏やか_舌しまい_バスト正面.png,,,照れ、感動、うるうる
穏やか_舌出し_バスト正面.png,,,呆れ、諦め、ジト目、疲れ、生気が無い
穏やか_舌半出_バスト正面.png,,,照れ、感動、喜び、舌半出し
笑顔_舌出し_バスト斜め.png,,,にんまり笑顔
笑顔_舌出し_バスト正面.png,,,にっこり優しい笑顔、口閉じてる、舌半出し
笑顔_舌出し_顔アップ.png,,,笑顔、口開けて笑う
笑顔_舌半出_バスト正面.png,,,にっこり優しい笑顔、口少し開けてる、舌半出し
驚き_舌出し_バスト斜め.png,,,驚き、目が点、エフェクトあり
驚き_舌出し_バスト正面.png,,,驚き、目が点
驚き_舌出し_顔アップ.png,,,驚き、目が点、エフェクトあり、舌長い
